"[71, 2]","[65, 8]","[60, 15]","[53, 21]","[48, 28]","[42, 35]","[35, 41]","[29, 48]","[22, 54]","[16, 59]","[9, 66]","[3, 70]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[70, 66]","[64, 60]","[58, 54]","[51, 47]","[45, 42]","[38, 36]","[35, 33]","[29, 28]","[22, 22]","[14, 16]","[7, 9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[69, 3]","[62, 9]","[55, 16]","[49, 23]","[41, 28]","[34, 34]","[27, 41]","[20, 47]","[12, 51]","[4, 57]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[72, 69]","[72, 66]","[71, 64]","[68, 57]","[65, 53]","[62, 51]","[59, 46]","[56, 42]","[53, 40]","[50, 36]","[46, 32]","[42, 30]","[39, 27]","[35, 24]","[31, 20]","[27, 17]","[22, 14]","[18, 11]","[13, 8]","[8, 4]","[4, 2]","[1, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[68, 5]","[62, 11]","[55, 18]","[49, 24]","[43, 30]","[35, 36]","[29, 41]","[21, 48]","[14, 52]","[7, 57]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[67, 71]","[63, 70]","[56, 62]","[49, 57]","[42, 53]","[35, 48]","[28, 42]","[21, 37]","[14, 33]","[6, 28]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[70, 12]","[64, 18]","[58, 24]","[51, 30]","[45, 35]","[38, 42]","[31, 48]","[24, 54]","[17, 58]","[10, 66]","[3, 67]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[68, 71]","[64, 68]","[57, 64]","[50, 59]","[43, 55]","[36, 49]","[29, 46]","[21, 41]","[15, 37]","[7, 32]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[66, 3]","[61, 12]","[56, 22]","[50, 31]","[45, 42]","[39, 51]","[33, 61]","[27, 69]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[68, 72]","[65, 69]","[62, 67]","[57, 59]","[52, 54]","[48, 49]","[43, 44]","[38, 38]","[34, 33]","[29, 28]","[24, 23]","[19, 18]","[14, 12]","[8, 7]","[3, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[63, 1]","[60, 5]","[55, 11]","[50, 16]","[48, 19]","[44, 24]","[40, 30]","[35, 35]","[30, 40]","[24, 45]","[19, 49]","[14, 54]","[8, 60]","[3, 65]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[42, 72]","[32, 70]","[27, 67]","[20, 62]","[12, 58]","[5, 54]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[64, 2]","[59, 9]","[55, 16]","[51, 25]","[46, 33]","[41, 42]","[38, 46]","[34, 53]","[28, 62]","[23, 68]","[18, 71]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[57, 72]","[55, 68]","[52, 61]","[48, 54]","[45, 49]","[41, 42]","[38, 36]","[34, 29]","[29, 23]","[26, 16]","[21, 10]","[17, 4]","[13, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[64, 3]","[58, 9]","[52, 16]","[46, 23]","[39, 29]","[33, 35]","[27, 41]","[20, 47]","[13, 54]","[7, 60]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[67, 72]","[68, 69]","[68, 62]","[68, 55]","[67, 49]","[67, 42]","[66, 36]","[65, 30]","[64, 24]","[63, 18]","[61, 12]","[60, 7]","[58, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[61, 2]","[56, 10]","[51, 19]","[46, 25]","[41, 33]","[37, 42]","[31, 49]","[25, 56]","[19, 64]","[14, 69]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[71, 69]","[72, 64]","[72, 7]","[70, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[66, 72]","[63, 68]","[58, 67]","[52, 63]","[47, 60]","[41, 56]","[36, 54]","[31, 52]","[25, 49]","[19, 45]","[13, 43]","[6, 40]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[61, 2]","[55, 7]","[49, 15]","[43, 23]","[36, 29]","[29, 37]","[23, 44]","[16, 51]","[9, 58]","[2, 65]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[68, 71]","[66, 67]","[62, 61]","[58, 56]","[53, 50]","[48, 45]","[44, 41]","[40, 36]","[36, 31]","[30, 26]","[26, 21]","[20, 16]","[15, 11]","[10, 5]","[5, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[55, 5]","[50, 12]","[44, 19]","[38, 26]","[32, 32]","[26, 39]","[19, 48]","[13, 54]","[7, 60]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[72, 65]","[69, 57]","[65, 49]","[61, 42]","[58, 34]","[54, 28]","[50, 21]","[46, 14]","[41, 7]","[37, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[64, 2]","[60, 6]","[55, 13]","[49, 22]","[44, 29]","[38, 36]","[32, 45]","[26, 52]","[20, 59]","[14, 67]","[8, 71]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[66, 70]","[62, 64]","[58, 57]","[53, 49]","[49, 44]","[44, 36]","[41, 33]","[37, 26]","[32, 20]","[27, 13]","[22, 6]","[17, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[53, 1]","[47, 3]","[40, 8]","[32, 13]","[25, 18]","[18, 22]","[10, 27]","[3, 31]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[64, 72]","[60, 68]","[54, 59]","[48, 50]","[42, 43]","[36, 33]","[31, 26]","[25, 19]","[19, 11]","[13, 4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[62, 1]","[56, 6]","[50, 12]","[45, 19]","[38, 25]","[32, 31]","[25, 36]","[19, 43]","[11, 49]","[4, 54]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[56, 70]","[54, 70]","[48, 63]","[44, 58]","[39, 55]","[34, 51]","[29, 47]","[25, 43]","[19, 38]","[15, 35]","[9, 31]","[3, 27]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[63, 1]","[61, 2]","[55, 5]","[49, 12]","[43, 19]","[37, 24]","[31, 31]","[24, 36]","[17, 41]","[10, 48]","[3, 53]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[53, 72]","[49, 71]","[48, 71]","[44, 67]","[39, 64]","[35, 60]","[31, 59]","[27, 56]","[23, 53]","[18, 51]","[13, 49]","[9, 47]","[4, 45]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[57, 1]","[53, 3]","[48, 6]","[44, 9]","[38, 12]","[34, 15]","[28, 17]","[23, 20]","[17, 22]","[12, 24]","[6, 27]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[70, 2]","[67, 7]","[63, 13]","[59, 19]","[55, 26]","[51, 33]","[46, 38]","[42, 45]","[37, 52]","[32, 56]","[27, 63]","[21, 68]","[17, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[57, 71]","[55, 71]","[51, 67]","[47, 60]","[42, 56]","[38, 52]","[33, 48]","[28, 43]","[24, 39]","[19, 35]","[15, 30]","[10, 26]","[5, 22]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[69, 2]","[66, 6]","[62, 9]","[59, 15]","[55, 20]","[50, 24]","[47, 29]","[42, 34]","[37, 38]","[33, 42]","[28, 45]","[23, 50]","[18, 54]","[13, 58]","[7, 63]","[2, 67]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[65, 72]","[66, 69]","[63, 66]","[61, 64]","[58, 58]","[55, 55]","[52, 50]","[49, 47]","[46, 43]","[43, 40]","[40, 37]","[36, 33]","[33, 30]","[30, 26]","[25, 23]","[21, 20]","[17, 17]","[13, 13]","[8, 10]","[4, 6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[67, 2]","[64, 7]","[61, 12]","[57, 17]","[54, 21]","[49, 27]","[46, 32]","[41, 37]","[37, 42]","[33, 47]","[28, 52]","[23, 55]","[18, 60]","[12, 65]","[8, 67]","[4, 71]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[64, 72]","[63, 69]","[62, 69]","[58, 62]","[55, 58]","[52, 56]","[48, 53]","[44, 49]","[41, 45]","[38, 42]","[34, 39]","[30, 35]","[26, 32]","[22, 29]","[18, 26]","[14, 23]","[9, 19]","[5, 16]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[60, 2]","[56, 6]","[51, 11]","[45, 17]","[40, 22]","[35, 27]","[29, 32]","[26, 33]","[20, 38]","[15, 43]","[8, 48]","[1, 52]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
